City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,namsos,64.4662,11.4957,0.03,93,75,8.75,NO,1708417179
240,nuuk,64.1835,-51.7216,4.34,45,40,6.69,GL,1708417180
241,lesnoy,57.6198,63.0784,-12.12,83,100,4.22,RU,1708417180
242,cozumel,20.5083,-86.9458,21.08,88,0,3.6,MX,1708417181
243,port macquarie,-31.4333,152.9167,22.72,86,44,2.36,AU,1708417075
244,ryotsu-minato,38.0833,138.4333,3.92,78,100,6.7,JP,1708417182
245,karachi,24.9056,67.0822,28.9,21,20,5.14,PK,1708417024
246,churapcha,62.0025,132.4325,-31.43,95,100,2.58,RU,1708417183
247,san antonio de pale,-1.4014,5.6325,28.96,77,92,5.06,GQ,1708417184
248,clifton,40.8584,-74.1638,-1.28,58,0,4.12,US,1708417082
249,barcelos,41.5388,-8.6151,14.08,80,1,2.01,PT,1708417185
250,yallahs,17.8748,-76.5624,25.85,86,2,1.75,JM,1708417186
251,el bauga,18.262,33.9081,25.28,25,7,6.99,SD,1708417186
252,bardai,11.65,7.2333,25.87,11,4,4.5,NG,1708417187
253,kenora,49.8167,-94.4337,-6.46,53,0,3.6,CA,1708417188
254,cill airne,52.05,-9.5167,12.03,87,100,7.72,IE,1708417188
255,sokoni,-6.4333,39.55,29.46,76,56,3.95,TZ,1708417189
256,galle,6.0367,80.217,30.71,64,6,3.13,LK,1708417190
257,namibe,-15.1961,12.1522,27.36,52,94,2.86,AO,1708417190
258,puerto aysen,-45.4,-72.7,12.58,99,41,1.64,CL,1708417191
259,mount gambier,-37.8333,140.7667,24.19,48,98,1.93,AU,1708417191
260,fort st. john,56.2499,-120.8529,-5.06,63,20,1.54,CA,1708417192
261,haiku-pauwela,20.9219,-156.3051,21.13,71,40,6.17,US,1708417193
262,palmerston,-12.486,130.9833,30.58,78,75,5.66,AU,1708417193
263,hadibu,12.65,54.0333,26.41,55,30,1.6,YE,1708417194
264,alice springs,-23.7,133.8833,36.75,20,40,4.63,AU,1708417195
265,maceio,-9.6658,-35.7353,25.69,100,20,1.03,BR,1708416922
266,saint-philippe,-21.3585,55.7679,29.77,85,69,7.16,RE,1708417196
267,agadez,19.75,10.25,19.24,16,0,3.74,NE,1708417196
268,hempstead,40.7062,-73.6187,-1.21,55,0,4.63,US,1708417197
269,newman,37.3138,-121.0208,13.13,77,3,1.34,US,1708417198
270,selfoss,63.9331,-20.9971,1.14,88,91,1.14,IS,1708417198
271,la passe,45.5549,-0.8967,9.99,90,71,0.78,FR,1708417199
272,concordia,-31.393,-58.0209,21.55,96,0,1.79,AR,1708417199
273,nizhneangarsk,55.7833,109.55,-26.11,90,100,1.79,RU,1708417200
274,mugia,43.1041,-9.2179,13.42,79,96,1.78,ES,1708417201
275,susuman,62.7833,148.1667,-34.45,97,100,1.34,RU,1708417202
276,naze,28.3667,129.4833,21.51,78,54,5.83,JP,1708417202
277,kapit,2.0167,112.9333,34.4,50,54,0.64,MY,1708417204
278,mazagao,-0.115,-51.2894,24.03,95,71,1.54,BR,1708417205
